timestamp,pm25,aqi,co2,temperature,humidity,mode,confidence,risk_level,reason,alerts
2026-03-14T15:37:33.293857+00:00,20.29,33.14,1087.97,23.42,54.57,fresh_air,0.9917,low,Fresh air selected to maintain air quality and comfort.,CO2 is elevated; fresh air is recommended.
2026-03-14T15:41:31.623363+00:00,20.29,33.14,1087.97,23.42,54.57,fresh_air,0.9917,low,Fresh air selected to maintain air quality and comfort.,CO2 is elevated; fresh air is recommended.
2026-03-14T16:34:06.411200+00:00,20.29,33.14,1087.97,23.42,54.57,fresh_air,0.9917,low,Fresh air selected to maintain air quality and comfort.,CO2 is elevated; fresh air is recommended.
2026-03-14T16:34:10.533642+00:00,101.28,128.35,1076.57,22.57,52.73,recirculation,0.9886,high,Outside air appears polluted; recirculation protects cabin occupants.,PM2.5 is above healthy range. | AQI is unhealthy for sensitive groups. | CO2 is elevated; fresh air is recommended.
2026-03-14T16:38:43.343602+00:00,20.29,33.14,1087.97,23.42,54.57,fresh_air,0.9917,low,Fresh air selected to maintain air quality and comfort.,CO2 is elevated; fresh air is recommended.
2026-03-14T16:38:47.635293+00:00,101.28,128.35,1076.57,22.57,52.73,recirculation,0.9886,high,Outside air appears polluted; recirculation protects cabin occupants.,PM2.5 is above healthy range. | AQI is unhealthy for sensitive groups. | CO2 is elevated; fresh air is recommended.
2026-03-14T16:38:51.628586+00:00,104.94,126.71,1098.41,22.7,54.21,recirculation,0.9832,high,Outside air appears polluted; recirculation protects cabin occupants.,PM2.5 is above healthy range. | AQI is unhealthy for sensitive groups. | CO2 is elevated; fresh air is recommended.
2026-03-14T16:38:55.628045+00:00,100.27,133.25,1088.9,21.72,53.07,recirculation,0.9833,high,Outside air appears polluted; recirculation protects cabin occupants.,PM2.5 is above healthy range. | AQI is unhealthy for sensitive groups. | CO2 is elevated; fresh air is recommended.
2026-03-14T16:38:59.639702+00:00,140.76,224.82,1095.53,22.17,54.28,recirculation,0.9753,critical,Outside air appears polluted; recirculation protects cabin occupants.,PM2.5 is above healthy range. | AQI is unhealthy for sensitive groups. | CO2 is elevated; fresh air is recommended.
2026-03-14T16:39:03.628909+00:00,142.22,226.17,1139.78,22.91,53.22,recirculation,0.9738,critical,Outside air appears polluted; recirculation protects cabin occupants.,PM2.5 is above healthy range. | AQI is unhealthy for sensitive groups. | CO2 is elevated; fresh air is recommended.
2026-03-14T16:39:07.633126+00:00,144.35,231.85,1222.5,22.86,50.51,recirculation,0.8492,critical,Outside air appears polluted; recirculation protects cabin occupants.,PM2.5 is above healthy range. | AQI is unhealthy for sensitive groups. | CO2 is elevated; fresh air is recommended.
2026-03-14T16:39:11.640122+00:00,142.11,237.65,1232.62,22.81,51.81,recirculation,0.8065,critical,Outside air appears polluted; recirculation protects cabin occupants.,PM2.5 is above healthy range. | AQI is unhealthy for sensitive groups. | CO2 is elevated; fresh air is recommended.
2026-03-14T16:39:15.630030+00:00,139.75,232.0,1287.85,22.5,51.68,recirculation,0.8032,critical,Outside air appears polluted; recirculation protects cabin occupants.,PM2.5 is above healthy range. | AQI is unhealthy for sensitive groups. | CO2 is elevated; fresh air is recommended.
2026-03-14T16:39:19.632817+00:00,142.9,237.5,1252.78,19.95,36.68,recirculation,0.8726,critical,Outside air appears polluted; recirculation protects cabin occupants.,PM2.5 is above healthy range. | AQI is unhealthy for sensitive groups. | CO2 is elevated; fresh air is recommended. | Cabin temperature is low.
2026-03-14T16:39:23.632777+00:00,141.56,238.66,1708.57,21.19,31.7,recirculation,0.8097,critical,Outside air appears polluted; recirculation protects cabin occupants.,PM2.5 is above healthy range. | AQI is unhealthy for sensitive groups. | CO2 is elevated; fresh air is recommended. | Humidity is below comfort range.
2026-03-14T16:39:27.635303+00:00,139.52,233.44,1698.05,21.02,30.99,recirculation,0.8197,critical,Outside air appears polluted; recirculation protects cabin occupants.,PM2.5 is above healthy range. | AQI is unhealthy for sensitive groups. | CO2 is elevated; fresh air is recommended. | Humidity is below comfort range.
2026-03-14T16:39:31.629072+00:00,141.86,229.7,1661.66,21.02,34.26,recirculation,0.809,critical,Outside air appears polluted; recirculation protects cabin occupants.,PM2.5 is above healthy range. | AQI is unhealthy for sensitive groups. | CO2 is elevated; fresh air is recommended. | Humidity is below comfort range.
2026-03-14T16:39:35.633477+00:00,137.43,236.31,2110.26,27.37,45.53,recirculation,0.8587,critical,Outside air appears polluted; recirculation protects cabin occupants.,PM2.5 is above healthy range. | AQI is unhealthy for sensitive groups. | CO2 is elevated; fresh air is recommended. | Cabin temperature is high.
2026-03-14T16:39:39.642811+00:00,137.74,245.1,2193.08,27.79,47.64,recirculation,0.8618,critical,Outside air appears polluted; recirculation protects cabin occupants.,PM2.5 is above healthy range. | AQI is unhealthy for sensitive groups. | CO2 is elevated; fresh air is recommended. | Cabin temperature is high.
2026-03-14T16:39:43.636461+00:00,127.12,248.96,2181.65,27.05,47.19,recirculation,0.8556,critical,Outside air appears polluted; recirculation protects cabin occupants.,PM2.5 is above healthy range. | AQI is unhealthy for sensitive groups. | CO2 is elevated; fresh air is recommended. | Cabin temperature is high.
2026-03-14T16:39:48.627268+00:00,124.67,238.97,2111.95,27.54,44.34,recirculation,0.853,critical,Outside air appears polluted; recirculation protects cabin occupants.,PM2.5 is above healthy range. | AQI is unhealthy for sensitive groups. | CO2 is elevated; fresh air is recommended. | Cabin temperature is high.
2026-03-14T16:39:52.634173+00:00,131.1,247.54,2340.75,29.91,31.49,recirculation,0.8061,critical,Outside air appears polluted; recirculation protects cabin occupants.,PM2.5 is above healthy range. | AQI is unhealthy for sensitive groups. | CO2 is elevated; fresh air is recommended. | Cabin temperature is high. | Humidity is below comfort range.
2026-03-14T16:39:56.631434+00:00,125.9,248.31,2320.75,28.78,30.23,recirculation,0.8318,critical,Outside air appears polluted; recirculation protects cabin occupants.,PM2.5 is above healthy range. | AQI is unhealthy for sensitive groups. | CO2 is elevated; fresh air is recommended. | Cabin temperature is high. | Humidity is below comfort range.
2026-03-14T16:40:00.627799+00:00,193.46,339.49,2500,27.85,32.24,recirculation,0.8677,critical,Outside air appears polluted; recirculation protects cabin occupants.,PM2.5 is above healthy range. | AQI is unhealthy for sensitive groups. | CO2 is elevated; fresh air is recommended. | Cabin temperature is high. | Humidity is below comfort range.
2026-03-14T16:40:04.632368+00:00,195.58,342.3,2500,27.78,33.1,recirculation,0.8577,critical,Outside air appears polluted; recirculation protects cabin occupants.,PM2.5 is above healthy range. | AQI is unhealthy for sensitive groups. | CO2 is elevated; fresh air is recommended. | Cabin temperature is high. | Humidity is below comfort range.
2026-03-14T16:40:08.623468+00:00,260,404.01,2500,27.69,33.02,recirculation,0.8557,critical,Outside air appears polluted; recirculation protects cabin occupants.,PM2.5 is above healthy range. | AQI is unhealthy for sensitive groups. | CO2 is elevated; fresh air is recommended. | Cabin temperature is high. | Humidity is below comfort range.
2026-03-14T16:40:12.629343+00:00,260,392.98,2500,27.72,29.66,recirculation,0.8426,critical,Outside air appears polluted; recirculation protects cabin occupants.,PM2.5 is above healthy range. | AQI is unhealthy for sensitive groups. | CO2 is elevated; fresh air is recommended. | Cabin temperature is high. | Humidity is below comfort range.
2026-03-14T16:40:16.630458+00:00,260,391.53,2399.32,20.9,18.94,recirculation,0.7962,critical,Outside air appears polluted; recirculation protects cabin occupants.,PM2.5 is above healthy range. | AQI is unhealthy for sensitive groups. | CO2 is elevated; fresh air is recommended. | Humidity is below comfort range.
2026-03-14T16:40:20.627028+00:00,260,500,2379.85,20.87,15.24,recirculation,0.7981,critical,Outside air appears polluted; recirculation protects cabin occupants.,PM2.5 is above healthy range. | AQI is unhealthy for sensitive groups. | CO2 is elevated; fresh air is recommended. | Humidity is below comfort range.
2026-03-14T16:40:24.634023+00:00,259.6,491.9,2347.51,21.09,15.43,recirculation,0.8002,critical,Outside air appears polluted; recirculation protects cabin occupants.,PM2.5 is above healthy range. | AQI is unhealthy for sensitive groups. | CO2 is elevated; fresh air is recommended. | Humidity is below comfort range.
2026-03-14T16:40:28.632964+00:00,259.17,500,2329.62,21.48,17.3,recirculation,0.8024,critical,Outside air appears polluted; recirculation protects cabin occupants.,PM2.5 is above healthy range. | AQI is unhealthy for sensitive groups. | CO2 is elevated; fresh air is recommended. | Humidity is below comfort range.
